,coche,sentido,viaje,media tiempo viaje (minutos),media velocidad comercial (km/h),desviación tiempo viaje,desviación velocidad comercial
94,2,Valdecilla_Sardinero,31,15.991666666666667,18.441910788883586,1.261007093116009,1.4542186752722184
63,2,Sardinero_Valdecilla,32,16.466666666666665,17.99111588831995,1.682425497772652,1.7882618149073073
95,2,Valdecilla_Sardinero,32,14.5,20.275862068965516,,
64,2,Sardinero_Valdecilla,33,14.233333333333333,20.65573770491803,,
96,2,Valdecilla_Sardinero,33,16.17222222222222,18.308275975612347,1.7091529199295488,1.8307189931668437
65,2,Sardinero_Valdecilla,34,15.191666666666666,19.357613932691404,0.34176827757349865,0.43548996412783497
97,2,Valdecilla_Sardinero,34,13.016666666666667,22.58642765685019,,
66,2,Sardinero_Valdecilla,35,13.766666666666667,21.35593220338983,,
98,2,Valdecilla_Sardinero,35,16.66111111111111,17.98285964469642,2.9179679636755846,2.888898341757519
67,2,Sardinero_Valdecilla,36,16.67777777777778,17.79159360708766,1.918501537176384,2.13305641633181
99,2,Valdecilla_Sardinero,36,13.633333333333333,21.56479217603912,,
68,2,Sardinero_Valdecilla,37,13.05,22.528735632183906,,
100,2,Valdecilla_Sardinero,37,19.65,15.151757555093663,3.111269837220809,2.399043575676613
69,2,Sardinero_Valdecilla,38,14.920833333333334,20.20371569431053,2.7434222680332576,3.6466729318238897
101,2,Valdecilla_Sardinero,38,10.883333333333333,27.013782542113322,,
102,2,Valdecilla_Sardinero,39,15.533333333333333,19.296592127689067,2.7186087128039103,3.1765720647075977
103,3,Sardinero_Valdecilla,2,13.283333333333333,22.132998745294856,,
141,3,Valdecilla_Sardinero,2,18.038888888888888,16.708105913293235,3.375456073437144,3.30194344593044
104,3,Sardinero_Valdecilla,3,13.579166666666666,21.78549860182384,1.2070299483841729,2.024986750921958
142,3,Valdecilla_Sardinero,3,12.483333333333333,23.55140186915888,,
105,3,Sardinero_Valdecilla,4,13.266666666666667,22.160804020100503,,
143,3,Valdecilla_Sardinero,4,12.233333333333334,24.03707464974178,0.19196836159078903,0.3719175426798855
106,3,Sardinero_Valdecilla,5,13.533333333333333,21.99008535125663,1.780657390050298,2.7015525872008097
144,3,Valdecilla_Sardinero,5,13.116666666666667,22.41423125794155,,
107,3,Sardinero_Valdecilla,6,12.283333333333333,23.934871099050202,,
145,3,Valdecilla_Sardinero,6,17.770833333333332,17.64862610978809,5.134602566754171,5.104992743834529
108,3,Sardinero_Valdecilla,7,13.558333333333334,21.730521609676195,0.7365459931328114,1.1404469025297719
109,3,Sardinero_Valdecilla,8,13.166666666666666,22.329113924050635,,
146,3,Valdecilla_Sardinero,8,16.061111111111114,19.165596459030553,4.366868103920364,4.7839975248702675
110,3,Sardinero_Valdecilla,9,14.279166666666667,20.607817065776757,0.49895724599742414,0.7014689239328372
147,3,Valdecilla_Sardinero,9,13.5,21.77777777777778,,
111,3,Sardinero_Valdecilla,10,15.85,18.548895899053626,,
148,3,Valdecilla_Sardinero,10,15.583333333333334,18.86892177589852,0.25927248643506773,0.31393747156273666
112,3,Sardinero_Valdecilla,11,15.970833333333331,18.491396376658482,1.2403983081909478,1.424782136960579
149,3,Valdecilla_Sardinero,11,15.4,19.09090909090909,,
113,3,Sardinero_Valdecilla,12,13.016666666666667,22.58642765685019,,
150,3,Valdecilla_Sardinero,12,17.244444444444444,17.08662857909828,0.9950339655472019,0.9795066924263651
114,3,Sardinero_Valdecilla,13,13.316666666666666,22.07759699624531,,
115,3,Sardinero_Valdecilla,14,20.733333333333334,14.180064308681672,,
151,3,Valdecilla_Sardinero,14,16.483333333333334,17.85986230901134,0.8485281374238552,0.9193890212160946
116,3,Sardinero_Valdecilla,15,18.7875,16.539818582832186,5.531950546764844,4.096796482684863
152,3,Valdecilla_Sardinero,15,15.3,19.215686274509803,,
117,3,Sardinero_Valdecilla,16,13.333333333333334,22.05,,
153,3,Valdecilla_Sardinero,16,16.07777777777778,18.306143647912986,0.648145502640105,0.7456210175643796
118,3,Sardinero_Valdecilla,17,16.71666666666667,17.831579402378495,2.354782367863324,2.31890959057667
154,3,Valdecilla_Sardinero,17,13.75,21.381818181818183,,
119,3,Sardinero_Valdecilla,18,14.183333333333334,20.72855464159812,,
155,3,Valdecilla_Sardinero,18,17.505555555555556,16.868601216333623,1.4529981774605576,1.3361018862069987
120,3,Sardinero_Valdecilla,19,15.127777777777778,19.477651620607187,0.8622215062998185,1.1373352319454801
156,3,Valdecilla_Sardinero,19,12.966666666666667,22.673521850899743,,
121,3,Sardinero_Valdecilla,20,12.683333333333334,23.180026281208935,,
157,3,Valdecilla_Sardinero,20,16.370833333333334,18.123523877383768,1.8328471577585816,1.9680295452492085
122,3,Sardinero_Valdecilla,21,12.483333333333333,23.55140186915888,,
158,3,Valdecilla_Sardinero,21,12.15,24.19753086419753,,
123,3,Sardinero_Valdecilla,22,10.016666666666667,29.35108153078203,,
159,3,Valdecilla_Sardinero,22,15.233333333333334,19.321168538343176,0.5865782761695781,0.740837217016892
124,3,Sardinero_Valdecilla,23,13.333333333333334,22.125626923333897,0.882651728641639,1.5246690285058648
160,3,Valdecilla_Sardinero,23,12.45,23.6144578313253,,
125,3,Sardinero_Valdecilla,24,13.733333333333333,21.40776699029126,,
161,3,Valdecilla_Sardinero,24,15.795833333333333,18.954989220354033,2.511395325607158,2.889401387263407
126,3,Sardinero_Valdecilla,25,13.950000000000001,21.154711535655913,0.985355735724883,1.50029384156933
162,3,Valdecilla_Sardinero,25,16.65,17.65765765765766,,
127,3,Sardinero_Valdecilla,26,10.85,27.096774193548388,,
163,3,Valdecilla_Sardinero,26,16.2375,18.146872189693113,0.8785905168486035,1.0020233789383732
128,3,Sardinero_Valdecilla,27,14.058333333333335,21.110778238157877,1.546651101454245,2.4072433358876704
129,3,Sardinero_Valdecilla,28,13.533333333333333,21.724137931034484,,
164,3,Valdecilla_Sardinero,28,15.733333333333334,18.862022535610517,1.8095426064186628,2.291816302960472
130,3,Sardinero_Valdecilla,29,15.733333333333333,18.741907430951585,0.9769567259835233,1.1918087669320698
165,3,Valdecilla_Sardinero,29,16.316666666666666,18.01838610827375,,
131,3,Sardinero_Valdecilla,30,13.366666666666667,21.99501246882793,,
166,3,Valdecilla_Sardinero,30,20.9375,15.756243969997822,8.983074362377282,5.517848385064843
